iter	Poisson
0	0.9592977018
1	0.9189253572
2	0.8798017758
3	0.8403644846
4	0.8012824771
5	0.7635922024
6	0.7260927275
7	0.6890323209
8	0.6592749718
9	0.6229447072
10	0.5871463722
11	0.5541720496
12	0.5191283553
13	0.4914628078
14	0.4595818517
15	0.4247425404
16	0.3908850639
17	0.3578518094
18	0.3252618972
19	0.2931397771
20	0.2612221706
21	0.2291299676
22	0.197452773
23	0.1660857946
24	0.1390869835
25	0.1112651953
26	0.08133474607
27	0.0516704773
28	0.02506301189
29	-0.005068555048
30	-0.03474938137
31	-0.06361122934
32	-0.09192286383
33	-0.1195765225
34	-0.1470593232
35	-0.1745205539
36	-0.201636593
37	-0.2280591289
38	-0.2547132128
39	-0.280507052
40	-0.3060002053
41	-0.331191408
42	-0.3561298475
43	-0.3802704502
44	-0.4048833496
45	-0.4286047731
46	-0.452323374
47	-0.475318554
48	-0.4975355795
49	-0.5199806186
50	-0.542879595
51	-0.5652560156
52	-0.5870556804
53	-0.6088725388
54	-0.6297914843
55	-0.6512846856
56	-0.6719347846
57	-0.6922643161
58	-0.7123632732
59	-0.7324358649
60	-0.7518888882
61	-0.771938153
62	-0.7908341022
63	-0.8097817552
64	-0.8285302214
65	-0.8476444423
66	-0.8649196179
67	-0.882630872
68	-0.9001529629
69	-0.9175369579
70	-0.934844579
71	-0.9516850746
72	-0.9690575293
73	-0.9855560509
74	-1.0005963
75	-1.016732915
76	-1.032869239
77	-1.048887278
78	-1.063427816
79	-1.078639859
80	-1.094452164
81	-1.109367485
82	-1.124025612
83	-1.138689931
84	-1.153450124
85	-1.16777132
86	-1.1814368
87	-1.195837857
88	-1.209374441
89	-1.223554946
90	-1.23712502
91	-1.25058693
92	-1.264013036
93	-1.276679263
94	-1.289003172
95	-1.301226361
96	-1.313305337
97	-1.325418823
98	-1.336916116
99	-1.348404911
100	-1.360354042
101	-1.37132569
102	-1.382824577
103	-1.393932996
104	-1.404818796
105	-1.415482276
106	-1.426262739
107	-1.436775326
108	-1.446865071
109	-1.456389874
110	-1.466893852
111	-1.477325639
112	-1.487223722
113	-1.496524101
114	-1.507182436
115	-1.516175387
116	-1.525341557
117	-1.534522159
118	-1.543248022
119	-1.55256983
120	-1.561402572
121	-1.569621024
122	-1.577725032
123	-1.586381228
124	-1.594703718
125	-1.602640665
126	-1.610228534
127	-1.618161422
128	-1.625932469
129	-1.63344154
130	-1.641449951
131	-1.648549454
132	-1.655987287
133	-1.662461363
134	-1.669432413
135	-1.676793211
136	-1.683528647
137	-1.690174879
138	-1.697232969
139	-1.704218604
140	-1.711613018
141	-1.718499022
142	-1.724498545
143	-1.730870596
144	-1.736746996
145	-1.742476723
146	-1.748725241
147	-1.754413372
148	-1.760491105
149	-1.766553877
150	-1.772234538
151	-1.778092209
152	-1.783343325
153	-1.788456167
154	-1.79387374
155	-1.79969239
156	-1.80509597
157	-1.810311897
158	-1.815243879
159	-1.820237868
160	-1.824691048
161	-1.829343632
162	-1.834035519
163	-1.83970389
164	-1.84491319
165	-1.849388186
166	-1.853834697
167	-1.857984014
168	-1.862764184
169	-1.867148002
170	-1.87115485
171	-1.875063186
172	-1.879057053
173	-1.883340967
174	-1.887012808
175	-1.891092118
176	-1.89525465
177	-1.898992513
178	-1.902420342
179	-1.9058218
180	-1.909179784
181	-1.912973979
182	-1.916577934
183	-1.920026232
184	-1.923031344
185	-1.926677651
186	-1.929939471
187	-1.933254262
188	-1.936329906
189	-1.939434063
190	-1.942714305
191	-1.945683692
192	-1.948288281
193	-1.951012557
194	-1.953772493
195	-1.956318321
196	-1.959134464
197	-1.961979976
198	-1.964584005
199	-1.967447082
