iter	Passed	Remaining
0	3	3340
1	5	2612
2	7	2336
3	9	2285
4	11	2189
5	12	2114
6	14	2058
7	16	2023
8	18	1993
9	19	1966
10	21	1946
11	24	2020
12	26	2028
13	28	2021
14	30	1999
15	32	1980
16	33	1960
17	35	1961
18	37	1945
19	39	1933
20	41	1918
21	42	1902
22	44	1888
23	48	1952
24	49	1938
25	51	1925
26	54	1964
27	59	2063
28	62	2104
29	64	2096
30	66	2084
31	72	2186
32	78	2287
33	80	2280
34	83	2299
35	89	2385
36	94	2449
37	99	2509
38	104	2578
39	109	2636
40	112	2636
41	116	2646
42	118	2635
43	120	2612
44	123	2610
45	124	2588
46	126	2569
47	130	2581
48	131	2561
49	133	2540
50	136	2543
51	138	2531
52	142	2546
53	148	2595
54	150	2578
55	152	2563
56	153	2546
57	155	2525
58	157	2516
59	159	2504
60	161	2491
61	163	2476
62	165	2461
63	167	2447
64	169	2434
65	172	2447
66	174	2434
67	176	2420
68	178	2407
69	180	2395
70	182	2382
71	183	2370
72	185	2359
73	188	2353
74	192	2370
75	193	2358
76	196	2350
77	197	2338
78	199	2327
79	202	2331
80	206	2341
81	208	2335
82	210	2325
83	212	2315
84	214	2304
85	215	2294
86	219	2302
87	221	2293
88	225	2309
89	227	2303
90	229	2293
91	232	2293
92	234	2283
93	236	2275
94	237	2266
95	239	2259
96	242	2255
97	244	2247
98	245	2238
99	247	2230
100	249	2221
101	251	2213
102	253	2205
103	255	2197
104	256	2188
105	258	2180
106	260	2173
107	262	2165
108	263	2157
109	265	2150
110	267	2142
111	269	2135
112	271	2128
113	274	2129
114	275	2122
115	277	2116
116	279	2110
117	283	2116
118	285	2115
119	287	2108
120	289	2102
121	291	2095
122	292	2088
123	294	2081
124	296	2074
125	298	2068
126	300	2064
127	302	2060
128	304	2058
129	306	2051
130	308	2045
131	310	2044
132	312	2037
133	314	2031
134	316	2024
135	317	2018
136	319	2012
137	321	2006
138	322	2000
139	324	1996
140	326	1990
141	328	1984
142	330	1978
143	332	1974
144	336	1984
145	338	1981
146	341	1980
147	343	1976
148	345	1971
149	346	1965
150	348	1960
151	350	1955
152	352	1950
153	353	1944
154	355	1939
155	357	1936
156	360	1934
157	363	1937
158	365	1932
159	367	1927
160	370	1930
161	372	1925
162	374	1922
163	377	1925
164	379	1920
165	381	1916
166	385	1920
167	386	1915
168	388	1910
169	391	1910
170	393	1906
171	394	1897
172	399	1908
173	402	1910
174	406	1914
175	409	1917
176	411	1914
177	416	1921
178	420	1926
179	423	1928
180	427	1936
181	433	1949
182	439	1960
183	444	1970
184	446	1968
185	451	1974
186	456	1985
187	461	1993
188	466	2002
189	472	2013
190	475	2013
191	478	2011
192	480	2007
193	484	2014
194	490	2023
195	493	2024
196	495	2019
197	498	2018
198	501	2017
199	503	2014
200	507	2015
201	509	2014
202	513	2015
203	517	2017
204	520	2016
205	524	2022
206	531	2034
207	537	2047
208	542	2054
209	549	2065
210	555	2076
211	560	2084
212	567	2095
213	571	2100
214	573	2095
215	578	2100
216	581	2099
217	586	2104
218	592	2113
219	598	2122
220	602	2123
221	607	2128
222	609	2123
223	611	2117
224	614	2117
225	618	2118
226	623	2122
227	626	2122
228	628	2116
229	631	2114
230	637	2122
231	640	2120
232	644	2122
233	651	2131
234	656	2136
235	660	2138
236	666	2145
237	671	2150
238	674	2149
239	676	2143
240	679	2140
241	683	2141
242	686	2137
243	688	2131
244	690	2127
245	692	2122
246	694	2116
247	697	2113
248	701	2115
249	703	2111
250	705	2105
251	707	2100
252	709	2095
253	712	2093
254	714	2088
255	716	2083
256	718	2078
257	722	2076
258	724	2071
259	726	2066
260	728	2062
261	730	2057
262	732	2051
263	734	2048
264	736	2042
265	740	2044
266	746	2048
267	748	2043
268	749	2037
269	753	2038
270	755	2033
271	759	2033
272	761	2029
273	764	2024
274	768	2025
275	770	2020
276	772	2015
277	774	2011
278	779	2015
279	785	2019
280	788	2016
281	792	2017
282	795	2014
283	797	2010
284	799	2006
285	801	2000
286	803	1995
287	806	1993
288	810	1993
289	812	1988
290	814	1983
291	815	1978
292	817	1973
293	819	1967
294	823	1966
295	825	1964
296	827	1959
297	829	1953
298	831	1949
299	833	1944
300	835	1939
301	837	1935
302	840	1933
303	842	1929
304	844	1924
305	846	1920
306	848	1915
307	850	1910
308	852	1906
309	855	1903
310	857	1900
311	860	1896
312	861	1891
313	864	1887
314	865	1882
315	868	1878
316	871	1877
317	873	1872
318	874	1867
319	876	1863
320	878	1858
321	880	1854
322	882	1849
323	886	1849
324	889	1847
325	892	1845
326	895	1842
327	898	1841
328	904	1845
329	907	1841
330	910	1839
331	912	1836
332	918	1839
333	920	1836
334	922	1831
335	924	1827
336	926	1822
337	928	1818
338	930	1815
339	933	1812
340	935	1808
341	937	1804
342	939	1799
343	941	1795
344	943	1791
345	947	1790
346	951	1789
347	953	1785
348	955	1782
349	958	1779
350	960	1775
351	963	1774
352	965	1770
353	967	1765
354	969	1761
355	971	1756
356	972	1752
357	974	1747
358	978	1746
359	980	1742
360	983	1740
361	984	1735
362	986	1731
363	988	1726
364	990	1723
365	992	1718
366	994	1714
367	997	1713
368	999	1708
369	1001	1704
370	1002	1700
371	1004	1695
372	1006	1691
373	1009	1689
374	1011	1685
375	1012	1681
376	1014	1676
377	1016	1673
378	1020	1671
379	1022	1667
380	1024	1664
381	1026	1660
382	1028	1656
383	1030	1652
384	1032	1649
385	1036	1649
386	1038	1645
387	1040	1641
388	1042	1637
389	1044	1633
390	1046	1629
391	1048	1626
392	1050	1622
393	1052	1618
394	1054	1614
395	1056	1612
396	1059	1608
397	1061	1605
398	1065	1604
399	1068	1602
400	1072	1602
401	1075	1599
402	1080	1601
403	1083	1598
404	1085	1595
405	1088	1591
406	1090	1589
407	1093	1586
408	1095	1583
409	1097	1579
410	1100	1576
411	1102	1573
412	1104	1570
413	1107	1567
414	1110	1566
415	1113	1563
416	1117	1562
417	1123	1563
418	1125	1560
419	1126	1556
420	1128	1552
421	1132	1550
422	1135	1549
423	1138	1547
424	1141	1543
425	1143	1540
426	1146	1537
427	1147	1534
428	1151	1532
429	1153	1529
430	1156	1526
431	1161	1526
432	1163	1523
433	1169	1525
434	1171	1521
435	1174	1518
436	1176	1515
437	1178	1512
438	1183	1512
439	1185	1508
440	1187	1505
441	1190	1502
442	1192	1498
443	1194	1495
444	1196	1492
445	1199	1489
446	1204	1489
447	1206	1486
448	1209	1483
449	1211	1480
450	1213	1477
451	1216	1474
452	1219	1472
453	1221	1469
454	1223	1465
455	1225	1462
456	1227	1458
457	1230	1455
458	1233	1453
459	1235	1450
460	1237	1447
461	1240	1444
462	1241	1440
463	1244	1438
464	1246	1434
465	1249	1431
466	1252	1429
467	1255	1427
468	1257	1423
469	1259	1420
470	1261	1417
471	1263	1413
472	1266	1410
473	1268	1407
474	1270	1403
475	1272	1401
476	1275	1397
477	1276	1394
478	1279	1392
479	1284	1391
480	1286	1387
481	1288	1384
482	1290	1381
483	1292	1378
484	1294	1375
485	1298	1373
486	1301	1370
487	1303	1367
488	1305	1363
489	1307	1360
490	1309	1357
491	1311	1354
492	1313	1350
493	1317	1349
494	1322	1349
495	1328	1349
496	1330	1346
497	1332	1343
498	1338	1343
499	1342	1342
500	1345	1339
501	1347	1336
502	1349	1333
503	1351	1330
504	1353	1326
505	1355	1323
506	1360	1322
507	1363	1321
508	1365	1317
509	1371	1318
510	1376	1317
511	1379	1314
512	1381	1311
513	1383	1307
514	1385	1304
515	1388	1302
516	1392	1301
517	1395	1298
518	1400	1297
519	1402	1294
520	1405	1292
521	1409	1290
522	1411	1287
523	1413	1284
524	1416	1281
525	1418	1278
526	1420	1275
527	1422	1271
528	1424	1268
529	1426	1264
530	1428	1261
531	1430	1258
532	1432	1255
533	1435	1252
534	1437	1249
535	1439	1246
536	1441	1243
537	1443	1239
538	1446	1237
539	1448	1233
540	1451	1231
541	1453	1228
542	1458	1227
543	1460	1224
544	1462	1221
545	1464	1218
546	1467	1215
547	1469	1212
548	1471	1208
549	1473	1205
550	1475	1202
551	1478	1200
552	1480	1196
553	1483	1194
554	1485	1191
555	1487	1188
556	1491	1185
557	1496	1185
558	1503	1185
559	1508	1185
560	1514	1185
561	1520	1185
562	1524	1183
563	1526	1179
564	1530	1178
565	1536	1177
566	1542	1177
567	1546	1176
568	1549	1173
569	1552	1170
570	1554	1167
571	1556	1164
572	1558	1161
573	1560	1157
574	1562	1154
575	1565	1152
576	1567	1148
577	1569	1145
578	1572	1143
579	1574	1140
580	1576	1137
581	1578	1133
582	1581	1131
583	1584	1128
584	1587	1125
585	1589	1122
