iter	Passed	Remaining
0	2	564
1	5	517
2	7	498
3	9	480
4	11	463
5	14	454
6	16	446
7	18	439
8	20	436
9	22	429
10	24	421
11	26	416
12	28	410
13	30	407
14	32	404
15	34	401
16	37	398
17	39	395
18	41	392
19	43	390
20	45	388
21	47	385
22	49	383
23	52	385
24	54	384
25	57	383
26	59	380
27	61	378
28	63	375
29	66	374
30	68	372
31	70	371
32	73	370
33	75	369
34	77	367
35	80	366
36	83	365
37	85	364
38	88	364
39	90	362
40	92	360
41	95	359
42	97	356
43	99	353
44	102	352
45	104	349
46	106	346
47	108	344
48	111	342
49	113	341
50	116	339
51	118	337
52	121	335
53	123	334
54	125	332
55	128	329
56	130	326
57	132	323
58	134	321
59	136	318
60	138	316
61	141	314
62	143	311
63	145	309
64	147	306
65	149	303
66	151	301
67	154	299
68	156	296
69	158	294
70	160	291
71	162	288
72	164	286
73	167	284
74	169	281
75	171	279
76	173	277
77	176	276
78	178	273
79	181	271
80	183	269
81	185	267
82	188	265
83	190	263
84	193	261
85	195	259
86	197	256
87	200	254
88	202	252
89	205	250
90	207	248
91	209	245
92	211	243
93	214	241
94	216	239
95	218	237
96	221	234
97	223	232
98	225	230
99	228	228
100	230	226
101	233	224
102	236	222
103	239	220
104	241	218
105	244	216
106	247	214
107	249	212
108	251	210
109	253	207
110	256	205
111	258	203
112	260	200
113	263	198
114	265	196
115	267	193
116	269	191
117	271	188
118	273	186
119	276	184
120	278	181
121	280	179
122	282	176
123	284	174
124	286	172
125	289	169
126	291	167
127	293	164
128	295	162
129	297	160
130	299	157
131	302	155
132	304	153
133	306	150
134	308	148
135	310	146
136	312	143
137	315	141
138	317	139
139	319	137
140	322	134
141	324	132
142	327	130
143	329	128
144	332	126
145	334	123
146	337	121
147	340	119
148	342	117
149	344	114
150	346	112
151	349	110
152	352	108
153	354	105
154	356	103
155	358	101
156	360	98
157	362	96
158	365	94
159	367	91
160	369	89
161	371	87
162	373	84
163	376	82
164	378	80
165	380	77
166	382	75
167	384	73
168	386	70
169	388	68
170	391	66
171	393	64
172	395	61
173	398	59
174	400	57
175	402	54
176	405	52
177	407	50
178	410	48
179	413	45
180	415	43
181	418	41
182	420	39
183	423	36
184	426	34
185	429	32
186	431	30
187	434	27
188	436	25
189	453	23
190	456	21
191	458	19
192	461	16
193	463	14
194	465	11
195	468	9
196	470	7
197	473	4
198	475	2
199	478	0
